pm25	pm10
5.1	8.3
5.1	8.5
5.1	8.5
5	8.6
5	8.6
5	8.6
4.9	8.6
4.9	8.5
4.9	8.3
4.8	8.1
4.8	7.9
4.8	7.9
4.8	7.9
4.8	7.9
4.8	7.9
4.8	7.9
4.8	7.9
4.8	7.9
4.8	8
4.8	8
4.7	7.7
4.7	7.5
4.6	7.3
4.7	8
4.8	8.7
4.9	9.4
4.9	9.5
4.9	9.5
4.9	9.6
4.9	9.5
4.9	9.5
4.9	9.4
4.9	9
4.9	8.7
4.9	8.3
4.9	8.3
4.9	8.2
4.9	8.2
4.9	8.2
4.9	8.1
4.8	8.1
4.9	8.3
4.9	8.5
4.9	8.7
4.9	8.8
4.9	8.8
4.9	8.8
4.9	8.8
4.9	8.7
4.8	8.7
4.9	8.7
4.9	8.7
4.9	8.7
4.8	8.7
4.8	8.7
4.7	8.7
4.7	8.7
4.7	8.7
4.7	8.6
4.7	8.5
4.8	8.4
4.8	8.3
4.8	8.4
4.9	8.4
4.9	8.5
4.9	8.8
4.9	9
5	9.2
5	9.2
5	9.2
5.1	9.2
5.1	9.3
5.1	9.4
5.1	9.5
5	9.4
5	9.4
5	9.3
5	9.4
5	9.5
5	9.5
5	9.6
5	9.7
5.1	9.8
5	9.3
5	8.8
4.9	8.3
5	8.3
5	8.2
5	8.2
5	8.1
5	8
4.9	7.9
4.9	8.1
4.9	8.2
4.9	8.4
4.9	8.4
4.9	8.4
4.8	8.3
4.8	8.3
4.8	8.3
4.8	8.3
4.8	8.2
4.9	8.1
4.9	8
4.9	8.3
4.9	8.6
4.9	8.9
5	9
5	9
5.1	9.1
5.1	9.1
5.1	9.1
5.1	9.2
5.1	9.2
5.1	9.1
5.1	9.1
5.1	9.1
5.2	9.1
5.2	9.1
5.2	9.4
5.1	9.6
5.1	9.9
5.1	9.8
5.1	9.7
5.1	9.6
5.1	9.4
5.1	9.2
5.1	9
5	9
5	9
4.9	9
4.9	9
4.9	9
4.9	9
5	9
5	9.1
5.1	9.1
5.1	9.1
5.2	9
5.2	8.9
5.2	8.9
5.2	8.9
5.3	8.9
5.2	8.8
5.2	8.6
5.2	8.4
5.2	8.4
5.2	8.4
5.2	8.5
5.2	8.6
5.2	8.7
5.2	8.8
5.2	8.7
5.2	8.6
5.2	8.5
5.3	8.7
5.3	8.8
5.3	9
5.4	9
5.4	9
5.4	9
5.3	9.4
5.2	9.8
5.2	10.2
5.2	10
5.2	9.8
5.2	9.6
5.2	10.1
5.3	10.7
5.3	11.2
5.3	11.2
5.3	11.2
5.3	11.2
5.3	11.2
5.3	11.2
5.3	11.2
5.3	11.4
5.3	11.7
5.3	12
5.2	11.7
5.2	11.4
5.2	11.1
5.3	11.5
5.3	12
5.3	12.4
5.4	12.5
5.5	12.6
5.5	12.7
5.6	12.7
5.6	12.7
5.6	12.8
5.6	12.7
5.6	12.6
5.6	12.6
5.6	12.6
5.6	12.6
5.6	12.5
5.6	12.6
5.6	12.6
5.7	12.7
5.6	12.7
5.6	12.7
5.5	12.7
5.5	13
5.5	13.4
5.5	13.7
5.5	13.7
5.5	13.7
5.5	13.7
5.6	14
5.6	14.2
5.7	14.5
5.7	14.6
5.7	14.6
5.7	14.7
5.7	14.8
5.7	14.9
5.7	15
5.7	15.2
5.8	15.4
5.8	15.6
5.8	15.4
5.9	15.1
5.9	14.9
5.9	14.7
5.9	14.6
5.8	14.4
5.8	13.9
5.7	13.3
5.7	12.8
5.7	12.8
5.7	12.9
5.8	12.9
5.8	12.9
5.8	12.9
5.8	13
5.8	12.7
5.8	12.4
5.8	12.1
5.9	12.3
6	12.5
6	12.7
6	12.2
5.9	11.8
5.9	11.3
5.8	11.2
5.8	11.2
5.7	11.1
5.7	11
5.7	11
5.6	10.9
5.7	11.2
5.7	11.4
5.7	11.7
5.7	11.6
5.7	11.6
5.7	11.6
5.7	11.6
5.6	11.7
5.6	11.8
5.6	11.7
5.6	11.7
5.6	11.7
5.6	11.4
5.6	11.1
5.6	10.8
5.6	10.9
5.6	11
5.6	11
5.6	10.7
5.5	10.3
5.4	9.9
5.5	9.9
5.5	9.8
5.5	9.7
5.4	9.4
5.4	9.1
5.4	8.8
5.4	8.8
5.4	8.8
5.4	8.7
5.3	8.9
5.3	9
5.3	9.1
5.3	9.2
5.3	9.3
5.3	9.4
5.3	9.4
5.3	9.3
5.3	9.3
5.3	9.3
5.2	9.2
5.2	9.1
5.2	9.1
5.2	9.1
5.2	9.2
5.2	9.4
5.2	9.6
5.2	9.8
5.1	9.7
5.1	9.6
5.1	9.4
5.1	9.4
5.1	9.3
5.1	9.3
5.1	9.3
5.1	9.3
5.1	9.3
5.2	10
5.3	10.8
5.3	11.5
5.3	11.4
5.3	11.3
5.2	11.3
5.2	11.2
5.2	11.2
5.2	11.2
5.2	11.1
5.2	10.9
5.2	10.8
5.3	11.1
5.3	11.5
5.3	11.9
5.4	11.9
5.4	11.8
5.4	11.8
5.4	11.6
5.3	11.5
5.3	11.4
5.3	11.5
5.4	11.7
5.4	11.8
5.4	11.8
5.4	11.8
5.4	11.7
5.4	11.8
5.5	11.8
5.5	11.8
5.5	11.6
5.5	11.4
5.5	11.3
5.5	11.4
5.5	11.5
5.5	11.6
5.5	11.7
5.5	11.8
5.4	11.8
5.4	11.8
5.4	11.8
5.4	11.8
5.4	11.8
5.4	11.8
5.4	11.8
5.4	12.2
5.4	12.7
5.4	13.1
5.4	13
5.4	12.8
5.4	12.6
5.4	12.6
5.4	12.6
5.4	12.5
5.4	12.6
5.4	12.7
